MAC Address,Name,First Seen,Last Seen,Hit Count,Time Active (minutes)
BLE,4C:C8:73:4B:04:89,4C-C8-73-4B-04-89,2025-04-26 22:20:48,2025-04-26 22:20:48,1,0
BLE,4A:E1:A3:F2:5B:62,4A-E1-A3-F2-5B-62,2025-04-26 22:20:48,2025-04-26 22:20:48,1,0
BLE,70:7E:76:FE:CD:DB,70-7E-76-FE-CD-DB,2025-04-26 22:21:56,2025-04-26 22:21:56,1,0
BLE,55:E0:17:BC:2D:D4,55-E0-17-BC-2D-D4,2025-04-26 22:23:04,2025-04-26 22:23:04,1,0
BLE,6A:45:AB:01:D7:55,6A-45-AB-01-D7-55,2025-04-26 22:23:04,2025-04-26 22:23:04,1,0
BLE,D0:DB:4A:3A:A8:EA,D0-DB-4A-3A-A8-EA,2025-04-26 22:31:00,2025-04-26 22:31:00,1,0
BLE,CF:D5:43:A3:4B:80,CF-D5-43-A3-4B-80,2025-04-26 22:31:00,2025-04-26 22:31:00,1,0
BLE,4C:E4:B1:37:7E:AE,4C-E4-B1-37-7E-AE,2025-04-26 22:36:41,2025-04-26 22:36:41,1,0
BLE,56:DA:C0:6E:7F:0F,56-DA-C0-6E-7F-0F,2025-04-26 22:36:41,2025-04-26 22:36:41,1,0
BLE,64:6A:89:69:7B:71,64-6A-89-69-7B-71,2025-04-26 22:37:49,2025-04-26 22:37:49,1,0
BLE,54:4A:52:9E:49:57,54-4A-52-9E-49-57,2025-04-26 22:37:49,2025-04-26 22:37:49,1,0
BLE,48:D8:0E:CF:8D:1F,48-D8-0E-CF-8D-1F,2025-04-26 22:38:57,2025-04-26 22:38:57,1,0
BLE,7B:96:45:E6:9A:44,7B-96-45-E6-9A-44,2025-04-26 22:38:57,2025-04-26 22:38:57,1,0
BLE,59:C1:85:C4:3A:CA,59-C1-85-C4-3A-CA,2025-04-26 22:40:05,2025-04-26 22:40:05,1,0
BLE,F0:B9:C2:43:43:E6,F0-B9-C2-43-43-E6,2025-04-26 22:45:46,2025-04-26 22:45:46,1,0
BLE,3F:EA:32:CC:21:B2,3F-EA-32-CC-21-B2,2025-04-26 22:45:46,2025-04-26 22:45:46,1,0
BLE,61:1C:49:7B:D9:21,61-1C-49-7B-D9-21,2025-04-26 22:46:54,2025-04-26 22:46:54,1,0
BLE,48:E7:12:51:32:B5,48-E7-12-51-32-B5,2025-04-26 22:46:54,2025-04-26 22:46:54,1,0
BLE,62:E2:DA:A6:7F:74,62-E2-DA-A6-7F-74,2025-04-26 22:46:54,2025-04-26 22:46:54,1,0
BLE,F2:A5:87:B3:CB:C3,F2-A5-87-B3-CB-C3,2025-04-26 22:48:02,2025-04-26 22:48:02,1,0
BLE,4D:2A:30:87:0A:42,4D-2A-30-87-0A-42,2025-04-26 22:48:02,2025-04-26 22:48:02,1,0
BLE,72:2D:C4:24:48:19,72-2D-C4-24-48-19,2025-04-26 22:50:18,2025-04-26 22:50:18,1,0
BLE,7D:2A:37:9B:84:6B,7D-2A-37-9B-84-6B,2025-04-26 22:54:50,2025-04-26 22:54:50,1,0
BLE,74:57:BD:F7:A8:FA,74-57-BD-F7-A8-FA,2025-04-26 22:54:50,2025-04-26 22:54:50,1,0
BLE,68:0A:7B:54:C0:12,68-0A-7B-54-C0-12,2025-04-26 22:55:59,2025-04-26 22:55:59,1,0
BLE,54:94:CA:F6:1B:57,54-94-CA-F6-1B-57,2025-04-26 22:55:59,2025-04-26 22:55:59,1,0
BLE,7F:FB:6C:B0:8A:71,7F-FB-6C-B0-8A-71,2025-04-26 22:59:23,2025-04-26 22:59:23,1,0
BLE,64:C5:63:06:51:23,64-C5-63-06-51-23,2025-04-26 22:59:23,2025-04-26 22:59:23,1,0
BLE,66:14:47:89:45:F8,66-14-47-89-45-F8,2025-04-26 23:00:31,2025-04-26 23:00:31,1,0
BLE,EC:72:CA:61:2E:C0,EC-72-CA-61-2E-C0,2025-04-26 23:00:31,2025-04-26 23:00:31,1,0
BLE,48:FC:59:89:4D:F9,48-FC-59-89-4D-F9,2025-04-26 23:03:55,2025-04-26 23:03:55,1,0
